Data Provider,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data License,Creative Commons CC-BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
License URL,http://creativecommons.org/licenses/by/4.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation URL,http://paleobiodb.org/data1.2/occs/list_doc.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data URL,"http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Decapoda&interval=Maastrichtian,Maastrichtian&cc=SOA,AR&show=class,ecospace,coords,loc,stratext",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access Time,Wed 2017-07-12 05:59:23 GMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,PBDB Data Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base_name,Decapoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cc,"SOA,AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,interval,"Maastrichtian,Maastrichtian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,timerule,major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,taxon_status,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,show,"class,ecospace,coords,loc,stratext",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elapsed Time,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records Found,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records Returned,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,class,order,family,genus,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments
70287,occ,,,5167,Callianassa burckhardi,species,22349,species not entered,Callianassa,genus,22349,Late Maastrichtian,,70.6,66,310,Arthropoda,,Decapoda,Callianassidae,Callianassa,,,actively mobile,,,carnivore,,,-68.150002,-36.549999,AR,La Pampa,,,minutes,outcrop,,Jaguel,,,bed,nannozone CC26,,,,,,,"from ""a bed of mudstones"""
70298,occ,,,5169,Callianassa burckhardti,species,218029,,Callianassa burckhardti,species,218029,Maastrichtian,,72.1,66,310,Arthropoda,,Decapoda,Callianassidae,Callianassa,,,actively mobile,,,carnivore,,,-67.916664,-36.900002,AR,La Pampa,,,minutes,outcrop,,Roca,,,member,,,,,,,,formation indicated on p. 4
70313,occ,,,5177,Callianassa burckhardti,species,218029,,Callianassa burckhardti,species,218029,Maastrichtian,,72.1,66,310,Arthropoda,,Decapoda,Callianassidae,Callianassa,,,actively mobile,,,carnivore,,,-69.599998,-35.466667,AR,Mendoza,,,minutes,outcrop,,Roca,,,member,,,,,,,,from two or more beds within < 30 m of section
70321,occ,,,5179,Callianassa sp.,genus,22349,,Callianassa,genus,22349,Maastrichtian,,72.1,66,310,Arthropoda,,Decapoda,Callianassidae,Callianassa,,,actively mobile,,,carnivore,,,-69.666664,-35.700001,AR,Mendoza,,,minutes,outcrop,,Roca,,,member,,,,,,,,"lower, Cretaceous part of formation; no other details given"
618650,occ,,,66649,Callianassa burckhardti,species,218029,,Callianassa burckhardti,species,218029,Maastrichtian,,72.1,66,19009,Arthropoda,,Decapoda,Callianassidae,Callianassa,,,actively mobile,,,carnivore,,,-69.699997,-37.549999,AR,NeuquÌ©n,,based on nearby landmark,minutes,small collection,,Roca,MalargÌ_e,,bed,,,,,,,,"level III, Middle Maastrichtian"
618663,occ,,,66656,Callianassa sp.,genus,22349,,Callianassa,genus,22349,Maastrichtian,,72.1,66,19009,Arthropoda,,Decapoda,Callianassidae,Callianassa,,,actively mobile,,,carnivore,,,-69.583336,-35.466667,AR,Mendoza,,based on nearby landmark,minutes,small collection,,,MalargÌ_e,,bed,,,,,,,,
1204808,occ,,,13309,Callianassa sp.,genus,22349,,Callianassa,genus,22349,Late Maastrichtian,,70.6,66,6052,Arthropoda,,Decapoda,Callianassidae,Callianassa,,,actively mobile,,,carnivore,,,-73.116669,-36.716667,CL,ConcepcÌ_on,,based on nearby landmark,minutes,small collection,"""in the west end of San Vicente Bay, southwest of Talcahuano"" (Chiappe 1991) or ""Cliff at west end of BahÌ_a San Vicente, on the southern point of PenÌ_nsula Tumbes"" (Olson 1992)",Quiriquina,Arauco,,group of beds,,,,,,,,
806543,occ,,,88070,Xanthopsis cretacea,species,144463,,Xanthopsis cretacea,species,144463,Maastrichtian,,72.1,66,29591,Arthropoda,,Decapoda,Cancridae,Xanthopsis,,,actively mobile,,,carnivore,,,-34.799999,-7.25,BR,ParaÌ_ba,,based on nearby landmark,seconds,outcrop,"SPECIFIC LOCATION: Rio Gramame, Fazenda do Congo, 3-4 mi. S of Parahyba, Parahyba do Norte, Brazil. LAT/LONG: estimated based on Rio Gramame, Brazil.",,,,bed,,,,,,,,"STRATIGRAPHIC RELATIONS: From unknown lithostratigraphic unit. AGE: Maastrichtian, on the basis of ammonite biostratigraphy. STRATIGRAPHIC POSITION: From unknown position within local stratigraphic section."
806544,occ,,,88070,Xanthopsis n. sp. brasiliana,species,144464,,Xanthopsis brasiliana,species,144464,Maastrichtian,,72.1,66,29591,Arthropoda,,Decapoda,Cancridae,Xanthopsis,,,actively mobile,,,carnivore,,,-34.799999,-7.25,BR,ParaÌ_ba,,based on nearby landmark,seconds,outcrop,"SPECIFIC LOCATION: Rio Gramame, Fazenda do Congo, 3-4 mi. S of Parahyba, Parahyba do Norte, Brazil. LAT/LONG: estimated based on Rio Gramame, Brazil.",,,,bed,,,,,,,,"STRATIGRAPHIC RELATIONS: From unknown lithostratigraphic unit. AGE: Maastrichtian, on the basis of ammonite biostratigraphy. STRATIGRAPHIC POSITION: From unknown position within local stratigraphic section."
70312,occ,,,5177,Ctenocheles sp.,genus,22390,,Ctenocheles,genus,22390,Maastrichtian,,72.1,66,310,Arthropoda,,Decapoda,Ctenochelidae,Ctenocheles,,,actively mobile,,,carnivore,,,-69.599998,-35.466667,AR,Mendoza,,,minutes,outcrop,,Roca,,,member,,,,,,,,from two or more beds within < 30 m of section
70288,occ,,,5167,Lobonotus sp.,genus,22519,,Lobonotus,genus,22519,Late Maastrichtian,,70.6,66,310,Arthropoda,,Decapoda,Tumidocarcinidae,Lobonotus,,,actively mobile,,,carnivore,,,-68.150002,-36.549999,AR,La Pampa,,,minutes,outcrop,,Jaguel,,,bed,nannozone CC26,,,,,,,"from ""a bed of mudstones"""
70317,occ,,,5179,Lobonotus lobulata,species,22519,species not entered,Lobonotus,genus,22519,Maastrichtian,,72.1,66,310,Arthropoda,,Decapoda,Tumidocarcinidae,Lobonotus,,,actively mobile,,,carnivore,,,-69.666664,-35.700001,AR,Mendoza,,,minutes,outcrop,,Roca,,,member,,,,,,,,"lower, Cretaceous part of formation; no other details given"
70318,occ,,,5179,Xanthilites ? gerthi,species,22759,species not entered,Xanthilites,genus,22759,Maastrichtian,,72.1,66,310,Arthropoda,,Decapoda,Tumidocarcinidae,Xanthilites,,,actively mobile,,,carnivore,,,-69.666664,-35.700001,AR,Mendoza,,,minutes,outcrop,,Roca,,,member,,,,,,,,"lower, Cretaceous part of formation; no other details given"
